Transformation,Orig LOCs,Proj LOCs,Orig/Proj %
A2B.atl,29,27,93.10
Ant2XML.atl,431,282,65.43
AnyLogic2XML.atl,818,414,50.61
ATL-KM22SimpleExample.atl,51,4,7.84
ATL-WFR.atl,1108,4,0.36
ATLCopier.atl,15,4,26.67
ATOM2RSS.atl,63,55,87.30
ATOM2XML.atl,591,399,67.51
BibTeX2DocBook.atl,346,36,10.40
Book2Publication.atl,47,4,8.51
Bugzilla2XML.atl,485,139,28.66
Class2Relational.atl,124,23,18.55
CodeClone2SVG.atl,124,71,57.26
CodeClone2SVG2.atl,133,28,21.05
CPL2SPL.atl,309,211,68.28
Disaggregation.atl,237,115,48.52
DSL2KM3.atl,252,86,34.13
DSL2XML.atl,2417,543,22.47
ECore2Class.atl,33,32,96.97
EMF2KM3.atl,133,94,70.68
equivalenceOfAttributeAndAssociations.atl,108,99,91.67
Families2Persons.atl,54,6,11.11
ForeignKey.atl,150,119,79.33
Grafcet2PetriNet.atl,90,90,100.00
HTML2XML.atl,183,121,66.12
IEEE1471_2_MoDAF.atl,220,182,82.73
JavaSource2Table.atl,129,62,48.06
KM32DOT.atl,516,63,12.21
KM32DSL.atl,430,61,14.19
KM32EMF.atl,155,147,94.84
KM32Measure.atl,396,13,3.28
KM32Metrics.atl,343,85,24.78
KM32OWL.atl,376,119,31.65
KM32Problem.atl,487,4,0.82
KM32SimpleClass.atl,65,31,47.69
KM32XML.atl,149,121,81.21
Make2Ant.atl,101,87,86.14
Mantis2XML.atl,494,93,18.83
MDL2UML21.atl,472,51,10.81
Measure2Table.atl,129,12,9.30
Measure2XHTML.atl,610,12,1.97
MergingPartialClasses.atl,204,118,57.84
METAH2ACME.atl,180,122,67.78
MOF2UML.atl,1113,288,25.88
Monitor2Semaphore.atl,960,170,17.71
MySQL2KM3.atl,651,96,14.75
OCL2R2ML.atl,1258,11,0.87
OWL2XML.atl,739,63,8.53
partial2totalRole.atl,119,37,31.09
PartialRolesTotalB.atl,211,36,17.06
PathExp2PetriNet.atl,120,89,74.17
PathExp2TextualPathExp.atl,429,26,6.06
PetriNet2Grafcet.atl,92,90,97.83
PetriNet2PathExp.atl,74,61,82.43
PetriNet2PNML.atl,96,95,98.96
PetriNet2XML.atl,226,171,75.66
PNML2PetriNet.atl,97,29,29.90
PNML2XML.atl,196,99,50.51
PrimaryKey.atl,147,139,94.56
R2ML2OCL.atl,940,11,1.17
R2ML2RDM.atl,1906,11,0.58
R2ML2WSDL.atl,409,20,4.89
R2ML2XML.atl,1777,17,0.96
RaiseSupplier.atl,186,109,58.60
RDM2R2ML.atl,1918,48,2.50
RDM2XML.atl,904,12,1.33
RedundantClassRemovable.atl,260,35,13.46
RedundantInheritance.atl,154,125,81.17
Removing.atl,263,119,45.25
RemovingAnAssociationClass.atl,164,102,62.20
Replace.atl,178,150,84.27
RSS2ATOM.atl,65,60,92.31
RSS2XML.atl,373,242,64.88
Simian2CodeClone.atl,66,59,89.39
SimpleClass2SimpleRDBMS.atl,186,4,2.15
SoftwareQualityControl2Bugzilla.atl,101,43,42.57
SoftwareQualityControl2Mantis.atl,131,15,11.45
SpreadsheetMLSimplified2SoftwareQualityControl.atl,150,15,10.00
SpreadsheetMLSimplified2XML.atl,254,169,66.54
SVG2XML.atl,487,143,29.36
Syntax2SimpleSBVR.atl,265,163,61.51
Table2SpreadsheetMLSimplified.atl,102,13,12.75
Table2SVGBarChart.atl,284,12,4.23
Table2SVGPieChart.atl,481,13,2.70
Table2TabularHTML.atl,122,12,9.84
test.atl,80,4,5.00
TextualPathExp2PathExp.atl,783,38,4.85
Tree2List_usingATLResolveAlgorithm.atl,50,21,42.00
Tree2List.atl,40,13,32.50
TT2BDD.atl,313,37,11.82
TypeA2TypeB_v1.atl,20,6,30.00
TypeA2TypeB_v2.atl,36,11,30.56
TypeA2TypeB_v3_firstStep.atl,32,11,34.38
TypeA2TypeB_v3.atl,42,14,33.33
TypeA2TypeB_v4.atl,38,14,36.84
UML22Measure.atl,447,13,2.91
UML2Amble.atl,342,77,22.51
UML2Copy.atl,5381,7,0.13
UML2JAVA.atl,103,44,42.72
UML2KM3.atl,189,78,41.27
UML2MOF.atl,647,190,29.37
UML2OWL.atl,24,5,20.83
UmlActivityDiagram2MSProject.atl,138,23,16.67
WSDL2R2ML.atl,447,23,5.15
WSDL2XML.atl,641,52,8.11
XHTML2XML.atl,1570,13,0.83
XML2Ant.atl,542,15,2.77
XML2ATOM.atl,314,4,1.27
XML2Book.atl,36,4,11.11
XML2CPL.atl,400,4,1.00
XML2DSL.atl,448,6,1.34
XML2DXF.atl,58,7,12.07
XML2GeoTrans.atl,64,7,10.94
XML2KML.atl,1380,12,0.87
XML2Make.atl,161,14,8.70
XML2MySQL.atl,312,19,6.09
XML2PetriNet.atl,276,4,1.45
XML2PNML.atl,178,17,9.55
XML2R2ML.atl,2204,19,0.86
XML2RDM.atl,1060,11,1.04
XML2RSS.atl,303,12,3.96
XML2SpreadsheetMLSimplified.atl,396,4,1.01
XML2WSDL.atl,804,16,1.99
XML2XML.atl,110,46,41.82
XML2XSLT.atl,227,19,8.37
XSLT2XQuery.atl,146,83,56.85
AVG,422.40,68.48,32.88
STDEV,637.13,86.16,31.25
MIN,15.00,4.00,0.13
MAX,"5,381.00",543.00,100.00
